episode,type,rail_idx,target_module_name,port_name,frames,min_mm,final_mm,seated,ep,retracted
138,sfp,0,nic_card_mount_0,sfp_port_1,401,44.7,44.7,False,ep138,False
139,sc,0,sc_port_0,sc_port_base,408,15.5,15.9,False,ep139,False
140,sfp,0,nic_card_mount_0,sfp_port_1,356,45.8,45.8,False,ep140,False
141,sc,0,sc_port_0,sc_port_base,371,13.8,222.2,False,ep141,True
142,sfp,3,nic_card_mount_3,sfp_port_0,435,46.3,46.9,False,ep142,False
143,sc,0,sc_port_0,sc_port_base,389,34.3,34.3,False,ep143,False
144,sfp,3,nic_card_mount_3,sfp_port_0,387,45.8,46.2,False,ep144,False
145,sc,1,sc_port_1,sc_port_base,395,54.3,56.8,False,ep145,False
146,sfp,3,nic_card_mount_3,sfp_port_1,410,45.9,46.0,False,ep146,False
147,sc,1,sc_port_1,sc_port_base,435,163.9,416.7,False,ep147,True
148,sfp,2,nic_card_mount_2,sfp_port_0,404,46.3,47.0,False,ep148,False
149,sc,1,sc_port_1,sc_port_base,409,13.6,13.6,False,ep149,False
150,sfp,2,nic_card_mount_2,sfp_port_1,385,45.8,45.8,False,ep150,False
151,sc,1,sc_port_1,sc_port_base,428,19.3,19.3,False,ep151,False
152,sfp,1,nic_card_mount_1,sfp_port_1,390,0.5,1.1,True,ep152,False
153,sc,1,sc_port_1,sc_port_base,408,13.8,13.9,False,ep153,False
154,sfp,1,nic_card_mount_1,sfp_port_1,394,46.4,47.0,False,ep154,False
155,sc,0,sc_port_0,sc_port_base,375,0.1,0.2,True,ep155,False
156,sfp,4,nic_card_mount_4,sfp_port_0,376,44.6,44.6,False,ep156,False
157,sc,0,sc_port_0,sc_port_base,413,17.3,17.4,False,ep157,False
158,sfp,3,nic_card_mount_3,sfp_port_0,393,45.0,45.1,False,ep158,False
159,sc,1,sc_port_1,sc_port_base,418,0.2,0.2,True,ep159,False
160,sfp,0,nic_card_mount_0,sfp_port_1,380,0.6,1.1,True,ep160,False
161,sc,1,sc_port_1,sc_port_base,401,14.2,14.2,False,ep161,False
162,sfp,1,nic_card_mount_1,sfp_port_1,31,128.0,128.0,False,ep162,False
164,sfp,4,nic_card_mount_4,sfp_port_1,301,0.4,1.1,True,ep164,False
170,sfp,0,nic_card_mount_0,sfp_port_0,397,45.9,46.5,False,ep170,False
171,sc,0,sc_port_0,sc_port_base,404,46.6,422.3,False,ep171,True
172,sfp,1,nic_card_mount_1,sfp_port_0,399,43.4,43.4,False,ep172,False
173,sc,0,sc_port_0,sc_port_base,436,34.6,39.5,False,ep173,False
174,sfp,4,nic_card_mount_4,sfp_port_0,132,96.7,96.7,False,ep174,False
